Lunation,New Moon,First Quarter,Full Moon,Third Quarter,Duration
1,2025-01-29,2025-02-05,2025-02-12,2025-02-20,29d 12h 09m
2,2025-02-27,2025-03-06,2025-03-14,2025-03-22,29d 10h 13m
3,2025-03-29,2025-04-04,2025-04-12,2025-04-20,29d 8h 33m
4,2025-04-27,2025-05-04,2025-05-12,2025-05-20,29d 7h 31m
5,2025-05-26,2025-06-02,2025-06-11,2025-06-18,29d 7h 29m
6,2025-06-25,2025-07-02,2025-07-10,2025-07-17,29d 8h 40m
7,2025-07-24,2025-08-01,2025-08-09,2025-08-16,29d 10h 55m
8,2025-08-23,2025-08-31,2025-09-07,2025-09-14,29d 13h 48m
9,2025-09-21,2025-09-29,2025-10-06,2025-10-13,29d 16h 31m
10,2025-10-21,2025-10-29,2025-11-05,2025-11-12,29d 18h 22m
11,2025-11-20,2025-11-28,2025-12-04,2025-12-11,29d 18h 56m
12,2025-12-19,2025-12-27,2026-01-03,2026-01-10,29d 18h 09m
13,2026-01-18,2026-01-25,2026-02-01,2026-02-09,29d 16h 09m
14,2026-02-17,2026-02-24,2026-03-03,2026-03-11,29d 13h 22m
15,2026-03-18,2026-03-25,2026-04-01,2026-04-10,29d 10h 28m
16,2026-04-17,2026-04-23,2026-05-01,2026-05-09,29d 8h 09m
17,2026-05-16,2026-05-23,2026-05-31,2026-06-08,29d 6h 53m
18,2026-06-14,2026-06-21,2026-06-29,2026-07-07,29d 6h 50m
19,2026-07-14,2026-07-21,2026-07-29,2026-08-05,29d 7h 53m
20,2026-08-12,2026-08-19,2026-08-28,2026-09-04,29d 9h 50m
21,2026-09-10,2026-09-18,2026-09-26,2026-10-03,29d 12h 23m
22,2026-10-10,2026-10-18,2026-10-26,2026-11-01,29d 15h 12m
23,2026-11-09,2026-11-17,2026-11-24,2026-12-01,29d 17h 50m
24,2026-12-08,2026-12-17,2026-12-23,2026-12-30,29d 19h 33m
25,2027-01-07,2027-01-15,2027-01-22,2027-01-29,29d 19h 32m
26,2027-02-06,2027-02-14,2027-02-20,2027-02-28,29d 17h 33m
27,2027-03-08,2027-03-15,2027-03-22,2027-03-29,29d 14h 22m
28,2027-04-06,2027-04-13,2027-04-20,2027-04-28,29d 11h 08m
29,2027-05-06,2027-05-13,2027-05-20,2027-05-28,29d 8h 42m
30,2027-06-04,2027-06-11,2027-06-18,2027-06-27,29d 7h 22m
31,2027-07-03,2027-07-10,2027-07-18,2027-07-26,29d 7h 03m
32,2027-08-02,2027-08-09,2027-08-17,2027-08-24,29d 7h 36m
33,2027-08-31,2027-09-07,2027-09-15,2027-09-23,29d 8h 55m
34,2027-09-29,2027-10-07,2027-10-15,2027-10-22,29d 11h 01m
35,2027-10-29,2027-11-06,2027-11-13,2027-11-20,29d 13h 48m
36,2027-11-27,2027-12-06,2027-12-13,2027-12-20,29d 16h 48m
37,2027-12-27,2028-01-04,2028-01-11,2028-01-18,29d 19h 00m
38,2028-01-26,2028-02-03,2028-02-10,2028-02-17,29d 19h 25m
39,2028-02-25,2028-03-04,2028-03-10,2028-03-17,29d 17h 54m
40,2028-03-26,2028-04-02,2028-04-09,2028-04-16,29d 15h 16m
41,2028-04-24,2028-05-01,2028-05-08,2028-05-16,29d 12h 29m
42,2028-05-24,2028-05-31,2028-06-07,2028-06-15,29d 10h 11m
